name,address,quartier,category,naf,phone,website,email,email_source,score,dirigeant
11Teamsports France,"31 Chem. de Chantelle Bat. C - Porte 11, 31200 Toulouse",,Grossiste en accessoires de sport,,+33 5 61 25 81 22,https://www.11teamsports.com/fr-fr/,info@11teamsports.ch,outscraper-gmaps,,
1.2.3. Famille,"21 Rue Desaix, 75015 Paris",,Magasin de jouets,,+33 1 43 06 06 20,http://www.123famille.com/,diane@123famille.fr,outscraper-gmaps,,
58M,"58 Rue Montmartre, 75002 Paris",,Boutique d'accessoires de mode,,+33 1 40 26 61 01,http://58m.fr/,contact@58m.fr,outscraper-gmaps,,
AGATHA Paris - TOULOUSE,"9 Pl. du Président Thomas Wilson, 31000 Toulouse",,Bijouterie,,+33 5 23 53 33 33,https://www.agatha.fr/,mmottolo@nextdocs.com,outscraper-gmaps,,
Alaska B.C,"241 bis Rte d'Albi, 31200 Toulouse",,Magasin d'articles de sports,,+33 5 61 53 41 63,https://alaska-bc.com/%3Futm_source%3Dgmb,contact@alaska-bc.fr,outscraper-gmaps,,
Album BD,"8 Rue Dante, 75005 Paris",,Librairie de bandes dessinées,,+33 1 43 25 85 19,https://www.albumbd.com/,boutique@album.fr,outscraper-gmaps,,
ALICE DUPRAZ-TOULOUSE | Paris - Créatrice de robes de mariée sur mesure,"6 Rue d'Abbeville, 75010 Paris",,Boutique de mariage,,,https://www.alicedupraztoulouse.com/,hello@alicedupraztoulouse.com,outscraper-gmaps,,
Amatista,"67 Rue de la Colombette, 31000 Toulouse",,Bijouterie,,+33 7 61 08 63 79,https://m.facebook.com/AmatistaBijouterieDArt/,amatistatoulouse@gmail.com,outscraper-gmaps,,
Arrow Workshop - Mercerie/perlerie/tissu,"11 Rue Sainte-Ursule, 31000 Toulouse",,Mercerie,,,http://www.arrow-workshop.com/,benjamin.dula@gmail.com,outscraper-gmaps,,
Arthus Bertrand,"30 Rue Croix Baragnon, 31000 Toulouse",,Bijouterie,,+33 9 53 64 71 61,https://fr.arthusbertrand.com/bijouteries/fr/toulouse,service-client@arthus-bertrand.fr,outscraper-gmaps,,
Atelier Bourgogne - Cordonnerie traditionnelle - Boutique de chaussures - Reproduction de clés,"128 Rue de Grenelle, 75007 Paris",,Cordonnier,,+33 1 45 55 17 70,https://www.atelierbourgogne.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D13838664128141787840,contact@atelierbourgogne.com,outscraper-gmaps,,
Atypique Concept Store,"11 Rue Croix Baragnon, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 5 61 53 12 54,http://www.atypiquetoulouse.com/,atypique.toulouse@gmail.com,outscraper-gmaps,,
Bagadie Paris 15 - Bagagerie & Valises,"18 Rue du Commerce, 75015 Paris",,Magasin de sacs et bagages,,+33 1 45 33 50 25,http://www.bagadie.com/,contact.bagadie@gmail.com,outscraper-gmaps,,
"BiArts, la boutique","10 Rue de la Bourse, 31000 Toulouse",,Friperie,,+33 6 66 33 17 72,https://www.biarts.fr/,contact@biarts.fr,outscraper-gmaps,,
BIBA | La Boutique,"18 Rue de Sèvres, 75007 Paris",,Magasin de vêtements pour femmes,,+33 1 45 48 89 18,https://www.biba.fr/,commande@biba.fr,outscraper-gmaps,,
BIJOUTERIE DU CAPITOLE,"12 Pl. du Capitole, 31000 Toulouse",,Bijouterie,,+33 5 61 21 12 72,http://www.bijouterie-du-capitole.fr/%3Futm_source%3Dgmb,sud-ouest-watch@orange.fr,outscraper-gmaps,,
Bijouterie Joaillerie Mohedano,"46 Rue des Tourneurs, 31000 Toulouse",,Joaillier,,+33 5 61 23 04 82,http://www.j-mohedano.com/%3Futm_source%3Dgmb,contact@j-mohedano.com,outscraper-gmaps,,
Bijouterie MATY - Toulouse,"44 Rue d'Alsace Lorraine, 31000 Toulouse",,Bijoutier,,+33 5 67 33 41 83,https://www.maty.com/bijouterie-toulouse-maty.html,nousrejoindre@maty.fr,outscraper-gmaps,,
Bijouterie Pujol,"7 place Etienne Esquirol, 31000 Toulouse",Esquirol / centre-ville,bijouterie / horlogerie,47.77Z,,http://bijouteriepujol.fr,comptabilite@bijouteriepujol.fr,prospection-toulouse.json,,
Bijouterie Pujol,"3 Pl. Jeanne d'Arc, 31000 Toulouse",,Bijouterie,,+33 5 62 73 70 70,http://bijouteriepujol.fr/,contact@bijouteriepujol.fr,outscraper-gmaps,,
Bijouterie Sandra Nougues,"32 rue de la Pomme, 31000 Toulouse",Capitole / centre-ville,bijouterie,47.77Z,05 61 23 18 80,https://www.bijouterienougues.fr,contact@bijouterienougues.fr,prospection-emails-toulouse.json: https://www.bijouterienougues.fr/contact,,
Bijoux D Hier Et D Aujourd Hui,"45 Rue des Tourneurs, 31000 Toulouse",,Marchand d'or,,+33 5 61 21 96 79,https://www.bijouxdhieretdaujourdhui.fr/%3Futm_source%3Dgmb,contact@bijouxdhieretdaujourdhui.fr,outscraper-gmaps,,
Billabong - Toulouse,"44 Rue Charles de Rémusat, 31000 Toulouse",,Sporting goods store,,+33 5 61 13 64 37,https://www.billabong.fr/,privacy.eu@boardriders.com,outscraper-gmaps,,
Bobbies Saint-Germain-des-Prés,"3 Rue du Cherche-Midi, 75006 Paris",,Magasin de chaussures,,+33 1 42 80 94 87,https://www.bobbies.com/,heart@bobbies.com,outscraper-gmaps,,
Bocage TOULOUSE ALSACE LORRAINE,"43 Rue d'Alsace Lorraine, 31000 Toulouse",,Magasin de chaussures,,+33 5 61 21 80 56,https://www.bocage.fr/,dthareau@groupeeram.com,outscraper-gmaps,,
Bonhomme de Bois Toulouse - Magasin de jouets,"22 Rue Sainte-Ursule, 31000 Toulouse",,Toy store,,+33 5 62 30 10 30,https://www.bonhommedebois.com/bonhomme-de-bois-toulouse---centre-commercial,cjaffre@bonhommedebois.com,outscraper-gmaps,,
Bonnegueule,"4 Rue Madame, 75006 Paris",,Magasin de vêtements pour hommes,,+33 1 43 25 39 89,https://bonnegueule.fr/,jordan.maurin@bonnegueule.fr,outscraper-gmaps,,
Bonnie & Clyde Factory,"1 Rue du Coq d'Inde, 31000 Toulouse",,Magasin de vêtements,,+33 5 32 02 18 05,http://www.bonnieandclydefactory.com/,line.dourneau@bonnieandclydefactory.com,outscraper-gmaps,,
BONTON,"80 Av. Paul Doumer, 75116 Paris",,Vêtements pour enfants,,+33 6 64 26 69 40,https://www.bonton.fr/fr/,pvittori@bonton.fr,outscraper-gmaps,,
Book Off Quatre-Septembre,"11 Rue Monsigny, 75002 Paris",,Librairie de livres d'occasion,,+33 1 42 65 79 73,https://lingonbook.fr/,recrutement@lingon-co.com,outscraper-gmaps,,
Boutique Aigle Paris Saint-Antoine,"67 Rue du Faubourg Saint-Antoine, 75011 Paris",,Magasin de vêtements,,+33 1 43 38 73 01,https://www.aigle.com/on/demandware.store/Sites-aigle-fr-Site/fr_FR/Stores-ShowDetails%3Fid%3D0045,waynealane@gmail.com,outscraper-gmaps,,
Boutique des Arts Martiaux,"143 Route de Blagnac, 31200 Toulouse",,Sport / arts martiaux,47.64Z,06 15 93 24 16,https://boutiquedesartsmartiaux.com,contact@boutiquedesartsmartiaux.com,emails-prospection-consolide.json: annuaire,,
Boutique Faubourg 54,"33 Av. Trudaine, 75009 Paris",,Boutique d'articles de mode,,,https://www.faubourg54.com/%3Futm_source%3DGoogle%2520My%2520Business%26utm_medium%3DBoutique,contact@faubourg54.com,outscraper-gmaps,,
Boutique FIDJI,"25 R. des Martyrs, 75009 Paris",,Magasin de vêtements pour femmes,,+33 9 88 31 90 38,https://boutiquefidji.com/,boutiquefidji@gmail.com,outscraper-gmaps,,
Boutique La Bonne Pioche,"69 Rue de la Fontaine au Roi, 75011 Paris",,Magasin de produits d'occasion,,,https://www.labonnepiocheparis.com/,labonnepioche.paris@gmail.com,outscraper-gmaps,,
Boutique Noë,"6 Rue Saint-Gilles, 75003 Paris",,Magasin de vêtements,,+33 1 43 70 53 35,https://gallegodesportes.com/,admin@gallegodesportes.com,outscraper-gmaps,,
Boutique Paraboot Toulouse,"52 Rue Boulbonne, 31000 Toulouse",,Magasin de chaussures,,+33 5 34 44 94 83,https://www.paraboot.com/,contact@labonneagence.com,outscraper-gmaps,,
Boutique PAUL MARIUS Toulouse,"22 Rue Lafayette, 31000 Toulouse",,Magasin de maroquinerie,,+33 5 32 11 17 36,https://www.paulmarius.fr/,serviceclient@paulmarius.fr,outscraper-gmaps,,
Boutique Stade Toulousain Rugby - Centre-ville,"73 Rue d'Alsace Lorraine, 31000 Toulouse",,Magasin de vêtements,,+33 5 82 28 08 28,http://boutique.stadetoulousain.fr/,serviceclient@stadetoulousain.fr,outscraper-gmaps,,
Cali by Okla - T.B Alternative,"9 Rue des Puits Clos, 31000 Toulouse",,Magasin de vêtements pour femmes,,+33 5 61 73 59 44,https://calibyokla.com/,contact@calibyokla.com,outscraper-gmaps,,
Carpe Diem Déco,"18 R. d'Astorg, 31000 Toulouse",,Décorateur d'intérieur,,+33 9 81 85 85 49,https://www.carpediemdeco.com/,contact@carpediemdeco.com,outscraper-gmaps,,
Carrick - Paris,"40 Rue des Cordelières, 75013 Paris",,Magasin d'uniformes,,+33 1 53 20 05 18,http://www.carrick.fr/,elisabeth.verdenne@carrick.fr,outscraper-gmaps,,
Céladon - Vaisselle et décoration en céramique artisanale - Toulouse,"14 Rue Baronie, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 5 34 65 43 30,https://celadon-paris.com/,bonjour@celadon-paris.com,outscraper-gmaps,,
Centre Commercial Beaugrenelle,"12 Rue Linois, 75015 Paris",,attractions,,+33 1 53 95 24 00,https://www.beaugrenelle-paris.com/,bijouxcocobello@gmail.com,outscraper-gmaps,,
CHAUSSEA Toulouse Gramont,"CENTRE COMMERCIAL GRAMONT, 2 Chem. de Gabardie, 31200 Toulouse",,Magasin de chaussures,,+33 5 34 25 17 32,https://www.chaussea.com/fr/magasin/3101-toulouse,arnaud.pellegrini@chaussea.fr,outscraper-gmaps,,
Chez Zel,"25 rue de la Pomme, 31000 Toulouse",Capitole / centre-ville,concept store / accessoires / bijoux,47.59B,05 62 19 29 53,https://chez-zel.com,contact@chez-zel.com,emails-prospection-consolide.json: annuaire,85,
Christian Louboutin Saint-Honoré,"400 Rue Saint-Honoré, 75001 Paris",,Magasin de chaussures,,+33 800 94 58 04,https://eu.christianlouboutin.com/fr_fr/%3Futm_source%3DGoogle%26utm_medium%3DYext%26utm_campaign%3DBDY,privacy.europe@ch.christianlouboutin.com,outscraper-gmaps,,
Compagnons des Cimes,"9 Rue Rivals, 31000 Toulouse",,Magasin d'articles de sports,,+33 9 86 69 43 19,http://www.compagnonsdescimes.fr/,contact@compagnonsdescimes.fr,outscraper-gmaps,,
Courir,"28 Rue Saint-Rome, 31000 Toulouse",,Magasin de chaussures,,+33 5 62 27 07 22,https://www.courir.com/%3Futm_campaign%3DGMB%26utm_medium%3Dorganic%26utm_source%3Dgoogle,s.nguyen@courir.com,outscraper-gmaps,,
CRACRA,"6 Rue du Coq d'Inde, 31000 Toulouse",,Magasin de vêtements vintage,,+33 7 71 12 02 55,https://cracra.fr/,cracraboutique@gmail.com,outscraper-gmaps,,
Créarteur Concept Store,"5 Rue Pierre Cazeneuve, 31200 Toulouse",,Agence événementielle,,+33 9 75 91 05 29,http://www.crearteur.fr/,contact@crearteur.fr,outscraper-gmaps,,
Decathlon Toulouse Centre Ville,"2 Bd d'Arcole, 31000 Toulouse",,Magasin d'articles de sports,,+33 5 61 62 24 49,https://www.decathlon.fr/store-view/magasin-de-sports-toulouse-centre-ville-0070004900049,drh.ouest@oxylane.com,outscraper-gmaps,,
Decitre,"31 Rue d'Alsace, 92300 Levallois-Perret",,Librairie,,,https://www.decitre.fr/aide/nos-librairies/levallois-perret%3Fsrsltid%3DAfmBOoo8g9eJNAML-K0IBM6eEbq-egMXABIMBYJ7LGNwdWCy2uqxLPiV,nick.jackson@unisa.br,outscraper-gmaps,,
Deco Design,"25 Rue Croix Baragnon, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 6 65 19 06 02,http://www.decoartdesign.net/,artdeladeco@gmail.com,outscraper-gmaps,,
Docks des Tissus,"22 Rue Lafayette, 31000 Toulouse",,Fabric store,,+33 5 61 12 36 86,http://www.docksdestissus.com/,contact@docksdestissus.com,outscraper-gmaps,,
Do My Shoes,"7 Rue des Arts, 31000 Toulouse",,Chaussures,47.72A,05 61 52 60 81,https://www.domyshoes.com,domyshoes@gmail.com,emails-prospection-consolide.json: annuaire,95,
Dorise Joaillier,"41 Rue Croix Baragnon, 31000 Toulouse",,Bijouterie,,+33 5 61 52 38 03,http://www.dorise-joaillier.com/,gerladine@dorise-joaillier.com,outscraper-gmaps,,
DRESS BY NK,"104 Rue Boileau, 75016 Paris",,Magasin de vêtements pour femmes,,+33 1 73 70 37 97,http://dressbynk.com/,dressbynk@gmail.com,outscraper-gmaps,,
"DR SWAG SHOES BASKETBALL, SNEAKERS, CASQUETTES, MAILLOT BASKET, NEW ERA, UNKUT , LA PIRATERIE, AIR JORDAN, NIKE , BASEBALL","13 Rue Perchepinte, 31000 Toulouse",,Magasin de chaussures,,+33 7 44 62 52 18,http://www.dr-swag.com/,contact@prestashop.com,outscraper-gmaps,,
Emilie Prose,Toulouse (atelier local),,Mode / vêtements sur mesure,47.72B,,https://www.emilieprose.com,contact@emilieprose.com,emails-prospection-consolide.json: annuaire,,EMILIE DECOMBAZ
Eram TOULOUSE ROME,"11 Rue Saint-Rome, 31000 Toulouse",,Magasin de chaussures,,+33 5 62 89 13 38,https://www.eram.fr/,rmontin@eram.fr,outscraper-gmaps,,
Estelle & Gilles Bernadou,"41 Av. de Lombez, 31300 Toulouse",,Bijouterie,,+33 5 62 48 30 00,http://www.estelle-et-gilles-bernadou.com/,contact@estelle-et-gilles-bernadou.com,outscraper-gmaps,,
Finsbury Shoes - Galeries Lafayette Toulouse,"4-8 Rue Lapeyrouse, 31000 Toulouse",,Magasin de chaussures,,+33 5 34 45 98 98,https://www.finsbury-shoes.com/,service.client@finsbury.fr,outscraper-gmaps,,
Finsbury - Toulouse,"11 Rue d'Alsace Lorraine, 31000 Toulouse",,Magasin de chaussures,,+33 9 61 56 28 77,http://www.finsbury-shoes.com/,vincent.di-nino@finsbury.com,outscraper-gmaps,,
