ordre,enseigne,email,categorie,quartier,ville
1,Bijouterie Sandra Nougues,contact@bijouterienougues.fr,bijouterie,Capitole / centre-ville,Toulouse
2,L'Interprète Concept Store,contact@linterprete-conceptstore.com,concept store / accessoires / design,Capitole / centre-ville,Toulouse
3,Slow Concept,contact@slowconcept.fr,concept store / accessoires,Capitole / centre-ville,Toulouse
4,Chez Zel,contact@chez-zel.com,concept store / accessoires / bijoux,Capitole / centre-ville,Toulouse
5,Emilie Prose,contact@emilieprose.com,Mode / vêtements sur mesure,,Toulouse
6,Mademoiselle Nuage,contact@mademoisellenuage.fr,Bijouterie,,Toulouse
7,Boutique des Arts Martiaux,contact@boutiquedesartsmartiaux.com,Sport / arts martiaux,,Toulouse
8,Modi In,contact@modi-in.com,Mode / prêt-à-porter / chaussures,,Toulouse
9,Bijouterie Pujol,contact@bijouteriepujol.fr,Bijouterie,,Toulouse
10,Bijouterie Joaillerie Mohedano,contact@j-mohedano.com,Joaillier,,Toulouse
11,LAUJOA,contact@laujoa.com,Joaillier,,Toulouse
12,Gemmes... & Vous,contact@parenthese-toulou-zen.fr,Bijouterie,,Toulouse
13,L'Atelier d'Amaya,contact@latelierdamaya.com,Bijouterie,,Toulouse
14,MUSARDISE,contact@musardise.fr,Bijouterie fantaisie,,Toulouse
15,Gabriel Joaillier,contact@gabriel-joaillier.com,Bijoutier,,Toulouse
16,Perlin's,contact@perlins.fr,Bijouterie,,Toulouse
17,Frayssinet Joaillier Capitole,contact@frayssinet-joaillier.fr,Bijoutier,,Toulouse
18,Estelle & Gilles Bernadou,contact@estelle-et-gilles-bernadou.com,Bijouterie,,Toulouse
19,Pied de Biche,contact@pieddebiche-paris.com,Magasin de chaussures,,Toulouse
20,Boutique Paraboot Toulouse,contact@labonneagence.com,Magasin de chaussures,,Toulouse
21,"DR SWAG SHOES BASKETBALL, SNEAKERS, CASQUETTES, MAILLOT BASKET, NEW ERA, UNKUT , LA PIRATERIE, AIR JORDAN, NIKE , BASEBALL",contact@prestashop.com,Magasin de chaussures,,Toulouse
22,Kolector Toulouse,contact@kolector.fr,Magasin de chaussures,,Toulouse
23,Carpe Diem Déco,contact@carpediemdeco.com,Décorateur d'intérieur,,Toulouse
24,Cali by Okla,contact@calibyokla.com,Magasin de vêtements pour femmes,,Toulouse
25,"PUJOL MAISON (Design, Déco, Table)",contact@pujolmaison.com,Magasin d'ameublement et de décoration,,Toulouse
26,Pure Deco,contact@pure-deco.com,Magasin d'ameublement et de décoration,,Toulouse
27,VISIONNAIRE,contact@vision-naire.com,Magasin de vêtements,,Toulouse
28,SPECIMN,contact@specimn.com,Magasin de vêtements,,Toulouse
29,Maison Carrillo,contact@maison-carrillo.com,Magasin de vêtements,,Toulouse
30,Midica,contact@midica.fr,Magasin d'ameublement et de décoration,,Toulouse
31,Minima,hello@minima-shop.com,Décorateur d'intérieur,,Toulouse
32,Céladon,bonjour@celadon-paris.com,Magasin d'ameublement et de décoration,,Toulouse
33,Maison Marah,bonjour@maisonmarah.fr,Magasin d'ameublement et de décoration,,Toulouse
34,MY HOME MY DEAR,contact@myhomemydear.com,Magasin d'ameublement et de décoration,,Toulouse
35,La Chaise Longue,hello@chaiselongue.com,Magasin d'ameublement et de décoration,,Toulouse
36,Les Marchandes de Jouets,contact@lesmarchandesdejouets.fr,Magasin de jouets,,Toulouse
37,Léon Bulle,contact@leonbulle.com,Magasin de jouets,,Toulouse
38,L'Arbre Enchanté,contact@larbreenchante.fr,Magasin de jouets,,Toulouse
39,L'Art de la Joie,contact@happybabyparis.fr,Librairie,,Toulouse
40,Album BD,boutique@album.fr,Librairie de bandes dessinées,,Toulouse
41,La Librairie.,contact@lalibrairietoulouse.com,Librairie,,Toulouse
42,nat & nin,contact@nat-nin.fr,Magasin de maroquinerie,,Toulouse
43,58M,contact@58m.fr,Boutique d'accessoires de mode,,Toulouse
44,L'Habit Français,boutique@lhabitfrancais.com,Magasin de vêtements,,Toulouse
45,Lola Jones,contact@lolajones.fr,Magasin de vêtements pour femmes,,Toulouse
46,MAY Concept Store,contact@mayconceptstore.com,Magasin de vêtements,,Toulouse
47,Boutique Faubourg 54,contact@faubourg54.com,Boutique d'articles de mode,,Toulouse
48,L'indien Boutique,contact@indienboutique.fr,Magasin de vêtements,,Toulouse
49,Harold,contact@harold-paris.com,Magasin de vêtements pour hommes,,Toulouse
50,Vestiaire des Parisiennes,bonjour@vestiairedesparisiennes.com,Magasin de vêtements pour femmes,,Toulouse
51,Alaska B.C,contact@alaska-bc.fr,Magasin d'articles de sports,,Toulouse
52,Compagnons des Cimes,contact@compagnonsdescimes.fr,Magasin d'articles de sports,,Toulouse
53,Bijouterie Pujol,comptabilite@bijouteriepujol.fr,bijouterie / horlogerie,Esquirol / centre-ville,Toulouse
54,Le Sens de la Marche,toulouse@lesensdelamarche.fr,chaussures,Victor Hugo / centre-ville,Toulouse
55,Mano Facto,info@manofacto31.com,Mode / chaussures / accessoires made in France,,Toulouse
56,TBS Toulouse,frederic.berlie@darty.fr,chaussures / vêtements,Capitole / centre-ville,Toulouse
57,Joaillerie Zeina Toulouse,serviceclient@zeina.fr,Joaillier,,Toulouse
58,Dorise Joaillier,gerladine@dorise-joaillier.com,Bijouterie,,Toulouse
59,Arthus Bertrand,service-client@arthus-bertrand.fr,Bijouterie,,Toulouse
60,Maison Celinni Diamantaire Toulouse,license@prestashop.com,Bijouterie,,Toulouse
61,Joaillerie Artisanale Dirty French Girl,info@dirtyfrenchgirl.com,Joaillier,,Toulouse
62,Marc Deloche,vente@marc-deloche.com,Bijoutier,,Toulouse
63,Mephisto Toulouse,yourmail@com.com,Magasin de chaussures,,Toulouse
64,Foot Locker,customercare@footlocker.com,Magasin de chaussures,,Toulouse
65,Bocage TOULOUSE ALSACE LORRAINE,dthareau@groupeeram.com,Magasin de chaussures,,Toulouse
66,Finsbury,vincent.di-nino@finsbury.com,Magasin de chaussures,,Toulouse
67,Courir,s.nguyen@courir.com,Magasin de chaussures,,Toulouse
68,CHAUSSEA Toulouse Gramont,arnaud.pellegrini@chaussea.fr,Magasin de chaussures,,Toulouse
69,Gabor Shop,tech@202-ecommerce.com,Magasin de chaussures,,Toulouse
70,Eram TOULOUSE ROME,rmontin@eram.fr,Magasin de chaussures,,Toulouse
71,Odaje,rgpd@odaje.com,Magasin de chaussures,,Toulouse
72,HANDY CHAUSSURES HOMME,serviceclient@maisonhandy.com,Magasin de chaussures,,Toulouse
73,Mellow Yellow TOULOUSE,coline@lullisurlatoile.com,Magasin de chaussures,,Toulouse
74,Finsbury Shoes,service.client@finsbury.fr,Magasin de chaussures,,Toulouse
75,Jonak,bruno.paillard@jonak.fr,Magasin de chaussures,,Toulouse
76,Salomon,rod.cousens@runescape.com,Magasin d'articles de sports,,Toulouse
77,Soulery,alain.alter@soulery.com,Magasin de vêtements pour hommes,,Toulouse
