Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"[ND]","",840000434,"Autre commerce spécialisé","[ND] [ND] [ND] [ND] [ND] [ND] [ND] [ND]","Axel Loue",physique,"",1,2018-05-30,
"31 TELECOM","31 TELECOM",485215909,"Autre commerce spécialisé","22 RUE DES FILATIERS 31000 TOULOUSE","",,"",2,2005-12-01,
"31.12 (31-12)","31.12",513523886,"Autre commerce spécialisé","PARC DE SESQUIERES 26 ALLEE DES FOULQUES 31200 TOULOUSE","Julien Martinez",physique,"Gérant",1,2009-05-19,
"31KARA","31KARA",937554509,"Autre commerce spécialisé","14 RUE PHARAON 31000 TOULOUSE","Kouadio Amian",physique,"Gérant",1,2024-10-28,
"A DEUX PAS","A DEUX PAS",987808466,"Autre commerce spécialisé","10 AVENUE WINSTON CHURCHILL 31100 TOULOUSE","Guillaume Bourrier",physique,"Gérant",1,2024-03-20,
"A-Z BIJOUX","A-Z BIJOUX",822420667,"Autre commerce spécialisé","30 RUE BACHELIER 31000 TOULOUSE","Mohamad Soufan",physique,"Président de SAS",1,2016-09-01,
"A.C.M.D. (ACMD)","A.C.M.D.",404138893,"Autre commerce spécialisé","39 RUE DES CHANGES 31000 TOULOUSE","Jean Bastien",physique,"Gérant",1,1996-03-01,
"ADEPTE","ADBV",518519046,"Autre commerce spécialisé","11 RUE DU LT COL PELISSIER 31000 TOULOUSE","SABA",morale,"Président de SAS",1,2009-11-20,398881219
"ADIENZ-SOLUTIONS","ADIENZ",908777089,"Autre commerce spécialisé","13 RUE SAINTE URSULE 31000 TOULOUSE","Enzo Farbos",physique,"Directeur Général",1,2021-12-23,
"AFRO DOM TOM TROPICAL","AFRO DOM TOM TROPICAL",408790798,"Autre commerce spécialisé","[NON-DIFFUSIBLE]","[non-diffusible] [non-diffusible]",physique,"Président de SAS",1,1996-09-03,
"AGORA HYGIENE SERVICES","AGORA HYGIENE SERVICES",528202500,"Autre commerce spécialisé","PARC D'ACTIVITES DE LA PLAINE 6 RUE MAURICE HUREL 31500 TOULOUSE","",,"",1,2010-11-01,
"AIR CIG","AIR CIG",798281069,"Autre commerce spécialisé","29 AVENUE DES MINIMES 31200 TOULOUSE","Jeremie Yvars",physique,"Président de SAS",4,2013-11-01,
"ALI BABA","ALI BABA",441584893,"Autre commerce spécialisé","12 RUE BAOUR LORMIAN 31000 TOULOUSE","Gilles Pen",physique,"Gérant",3,2002-04-05,
"ALIN SOLES","",538493396,"Autre commerce spécialisé","2 ALLEE DJANGO REINHARDT 31200 TOULOUSE","Alin Soles",physique,"",1,2011-12-01,
"ALL OVER GALLERY","ALL OVER GALLERY",832419865,"Autre commerce spécialisé","6 RUE MAURICE CAUNES 31200 TOULOUSE","Cedric Lascours",physique,"Président de SAS",1,2017-09-26,
"ALTHCOLLECTION","",984331462,"Autre commerce spécialisé","294 ROUTE DE LAUNAGUET 31200 TOULOUSE","Thomas Galipot",physique,"",1,2024-02-05,
"AMNESYA","EJL UNITED",905349072,"Autre commerce spécialisé","12 BOULEVARD LAZARE CARNOT 31000 TOULOUSE","Jeremie Elisabeth",physique,"Président de SAS",2,2021-12-01,
"ANALOG REPAIR","",948576095,"Autre commerce spécialisé","APPT 4507 169 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Romain Baudru",physique,"",1,2023-01-31,
"ANGKO","ANGKO",492116017,"Autre commerce spécialisé","9 RUE RECLUSANE 31300 TOULOUSE","Laetitia Curabet",physique,"Gérant",2,2006-10-02,
